最終設計仕様書に記載された置換unitをC++コードとして再生成してください。

規則:
- 設計仕様書に記載された名前、型、signature、namespace、修飾子を変更しないでください。
- C++としてコンパイル可能なコードを生成してください。
- 設計仕様書に存在しない型、API、ファイル、unitを勝手に作らないでください。
- `replacement_required=true`と記載された置換unitだけを生成し、参照専用unitは生成しないでください。
- 各`content`には指定された置換unit本体だけを含めてください。function/byte-span unitでは周辺の`#include`、namespace wrapper、既存の定数・型・helper定義、別unitを複製しないでください。full-file/module-file unitでは`#include`、namespace、型、inline実装を含むファイル全体がunit本体であり、この除外規則の対象外です。
- function置換unitの`content`には、戻り値型、完全な関数名、引数list、修飾子、開閉波括弧、関数bodyを含む完全な関数定義を出力してください。関数body内の文だけを出力してはいけません。
- full-fileまたはmodule-file置換unitの`content`には、設計仕様書に記載された完全なファイルを先頭から末尾まで出力してください。include guardまたはpragma、必要なinclude、namespace、using、すべての型宣言、すべてのメンバー、すべてのinline実装、終端を省略してはいけません。代表的な関数一つ、宣言だけ、またはファイルの一部分だけを出力してはいけません。
- 設計仕様書で既存の周辺symbolとして示されたものは利用だけ行い、再定義しないでください。
- 設計仕様書に記載された変数型、初期値、条件式、比較演算子、分岐順序、更新順序、戻り値、error path、境界条件を逐語的に実装し、省略や等価な書き換えをしないでください。
- 設計仕様書で内容が確認不能とされた定数、table、型、APIを推測して作成しないでください。
- 出力前に、設計仕様書に列挙されたすべての正常経路・異常経路・終了条件が生成コードに存在することを内部確認してください。
- 指定されたJSON Schemaへ厳密に従ってください。
- JSON以外の説明やMarkdownを出力しないでください。
- C++記号をHTML entity化しないでください。
- 文字列、文字リテラル、template、concept、requiresを正しいC++構文で生成してください。

FINAL_DESIGN_SPECIFICATION:
## Design Specification for Logging System

This document details the design of a logging system based on the provided C++ source code. It aims to provide sufficient information for another LLM to reimplement the system without access to the original code.  The specification focuses solely on the public interface and behavior as defined by the given files, avoiding any assumptions beyond what is explicitly stated.
*   **`ws::log::StdOutAppender`**: An implementation of `Appender` that writes log messages to standard output (`std::cout`).

*   **`ws::log::FileAppender`**: An implementation of `Appender` that writes log messages to a file.
    *   Requires a filename during construction.

*   **`ws::log::Logger`**: The central logging component.
    *   Manages a list of appenders.
    *   Provides the `Log()` method to write events.
    *   Supports both synchronous and asynchronous logging based on an optional capacity parameter in the constructor.  If capacity > 0, it uses an internal queue and thread for asynchronous logging.
    *   Allows adding and removing appenders dynamically (`AddAppender()`, `RemoveAppender()`).
    *   Provides methods to set the log level (`SetLevel()`) and default formatter (`SetDefaultFormatter()`).

*   **`ws::log::Manager`**: Manages a collection of named loggers.
    *   `FindLogger()`: Retrieves an existing logger by name or creates a new one if it doesn't exist.
    *   `RemoveLogger()`: Removes a logger by name.
    *   Configuration is loaded via YAML and applied to the managed loggers.

**3.  Data Structures & Types**

*   `Event::Ptr`: `std::shared_ptr<Event>` - Used for shared ownership of event objects.
*   `Formatter::Ptr`: `std::shared_ptr<Formatter>` - Used for shared ownership of formatter objects.
*   `Appender::Ptr`: `std::shared_ptr<Appender>` - Used for shared ownership of appender objects.
*   `Logger::Ptr`: `std::shared_ptr<Logger>` - Used for shared ownership of logger objects.
*   `Manager::Ptr`: `std::shared_ptr<Manager>` - Used for shared ownership of manager objects.
*   `BlockDeque<Event::Ptr>`: A thread-safe queue used in asynchronous logging to buffer events.

**4.  Key Interactions & Workflow**

1.  A client creates a `Logger` (typically obtained through the `Manager`).
2.  The client constructs an `Event` using the `Event::Create()` factory method.
3.  The client populates the event with data, potentially using `MessageStream()`.
4.  The client calls `Log()` on the logger, passing in the event.
5.  The logger iterates through its appenders and calls `Log()` on each one, providing the event.
6.  Each appender formats the event (using its formatter) and writes it to its destination.

**5. Configuration**

The logging system is configured using YAML files. The configuration specifies:

*   Logger names
*   Logging levels for each logger
*   Appenders associated with each logger
*   Formatter patterns for appenders or default loggers.

Configuration parsing and application are handled by the `cfg` namespace (details not fully provided in the source, but assumed to be a configuration management system).  The `LoggerConfig` and `AppenderConfig` structs define the structure of the YAML data.

**6. Thread Safety**

*   The `BlockDeque` is thread-safe.
*   Access to internal logger state (appenders, level) is protected by a `std::mutex`.
*   The asynchronous logging thread uses its own mutex for synchronization.

**7. Error Handling**

*   Invalid log levels or appender types will throw `std::invalid_argument` exceptions.
*   File creation errors in `FileAppender` may throw `std::system_error`.
*   YAML parsing errors are handled by the underlying configuration system (`cfg`).

**8.  Assumptions & Limitations**

*   The implementation of the `cfg` namespace is not provided and must be assumed to exist and function as described in the comments.
*   The exact details of YAML parsing are not specified, only that it's used for configuration.
*   No information about external dependencies beyond those included in the source code is available.

**9.  Future Considerations (Not Implemented)**

*   Rolling log files (e.g., rotating logs based on size or time).
*   More advanced filtering and routing of log events.
*   Support for different output formats (e.g., JSON, XML).
